0x005c3130,swig_TGBufferStream_WriteFloat
0x005c31b0,swig_TGBufferStream_WriteDouble
0x005c3230,swig_TGBufferStream_ReadID
0x005c32a0,swig_TGBufferStream_WriteID
0x005c3320,swig_TGBufferStream_GetBuffer
0x005c3390,swig_TGBufferStream_OpenBuffer
0x005c3410,swig_TGBufferStream_CloseBuffer
0x005c3480,swig_TGBufferStream_GetPos
0x005c34f0,swig_TGBufferStream_GetLength
0x005c3560,swig_TGBufferStream_Eof
0x005c35e0,swig_TGLocalizationDatabase_Create
0x005c3680,swig_TGLocalizationDatabase_GetString
0x005c3730,swig_TGLocalizationDatabase_HasString
0x005c37f0,swig_TGLocalizationDatabase_GetFilename
0x005c38b0,swig_TGLocalizationDatabase_WriteSample
0x005c3930,swig_TGLocalizationManager_Load
0x005c3a10,swig_TGLocalizationManager_Unload
0x005c3ab0,swig_TGLocalizationManager_DeleteAll
0x005c3b20,swig_TGLocalizationManager_Purge
0x005c3b90,swig_TGLocalizationManager_GetIfRegistered
0x005c3c70,swig_TGLocalizationManager_RegisterDatabase
0x005c3d10,swig_TGAnimNode_UseAnimation
0x005c3e50,swig_TGAnimNode_SetExclusiveAnimation
0x005c3f80,swig_TGAnimNode_SetNonExclusiveAnimation
0x005c40b0,swig_TGAnimNode_StopNonExclusiveAnimation
0x005c4170,swig_TGAnimNode_SetExclusiveAnimationUseDefault
0x005c42a0,swig_TGAnimNode_Stop
0x005c4310,swig_TGAnimNode_Copy
0x005c43b0,swig_TGAnimNode_IsAnimate
0x005c4430,swig_TGAnimNode_UseAnimationPosition
0x005c44f0,swig_TGAnimNode_SetRootNode
0x005c4680,swig_TGAnimNode_GetRootNode
0x005c46f0,swig_TGAnimNode_FindNode
0x005c47f0,swig_TGAnimNode_SetBlendTime
0x005c4870,swig_TGAnimNode_GetBlendTime
0x005c48e0,swig_TGAnimationManagerClass_LoadAnimation
0x005c49f0,swig_TGAnimationManagerClass_MapDefaultAnimation
0x005c4ad0,swig_TGAnimationManagerClass_FreeAnimation
0x005c4b90,swig_TGAnimationManagerClass_UseAnimation
0x005c4ca0,swig_TGAnimationManagerClass_BlendAnimation
0x005c4de0,swig_TGAnimationManagerClass_UseDefault
0x005c4ec0,swig_TGAnimationManagerClass_GetAnimationLength
0x005c4f70,swig_TGAnimationManagerClass_IsLoaded
0x005c5030,swig_TGAnimationManagerClass_ClearAnimations
0x005c50a0,swig_TGAnimationManagerClass_PositionUsingAnimation
0x005c5180,swig_TGModelManager_LoadModel
0x005c52d0,swig_TGModelManager_LoadModelIncremental
0x005c5440,swig_TGModelManager_IsModelLoaded
0x005c5500,swig_TGModelManager_AddModel
0x005c5600,swig_TGModelManager_GetModel
0x005c56b0,swig_TGModelManager_GetCamera
0x005c5760,swig_TGModelManager_CloneModel
0x005c5810,swig_TGModelManager_CloneCamera
0x005c58c0,swig_TGModelManager_CopyModel
0x005c5970,swig_TGModelManager_FreeModel
0x005c5a30,swig_TGModelManager_FreeAllModels
0x005c5aa0,swig_TGModelManager_Refer
0x005c5b60,swig_TGModelManager_Unrefer
0x005c5c20,swig_TGModelManager_UnreferAll
0x005c5ce0,swig_TGModelManager_Purge
0x005c5d50,swig_TGModelManager_DoIncrementalLoad
0x005c5dd0,swig_TGModelManager_ClearIncrementalLoadQueue
0x005c5e40,swig_new_TGEvent
0x005c5ec0,swig_delete_TGEvent
0x005c5f30,swig_TGEvent_Cast
0x005c5fa0,swig_TGEvent_Duplicate
0x005c6010,swig_TGEvent_Create
0x005c6080,swig_TGEvent_Copy
0x005c6130,swig_TGEvent_GetEventType
0x005c6190,swig_TGEvent_GetSource
0x005c6200,swig_TGEvent_GetDestination
0x005c6270,swig_TGEvent_GetTimestamp
0x005c62e0,swig_TGEvent_SetEventType
0x005c6360,swig_TGEvent_SetSource
0x005c6400,swig_TGEvent_SetDestination
0x005c64a0,swig_TGEvent_SetTimestamp
0x005c6520,swig_TGEvent_SetLogged
0x005c65a0,swig_TGEvent_IsLogged
0x005c6620,swig_TGEvent_SetPrivate
0x005c66a0,swig_TGEvent_IsPrivate
0x005c6720,swig_TGEvent_SetNotSaved
0x005c67a0,swig_TGEvent_IsNotSaved
